"","NumDiffGenes","Actual"
"1",99,38
"2",22,38
"3",55,38
"4",24,38
"5",2112,38
"6",67,38
"7",1,38
"8",86,38
"9",353,38
"10",836,38
"11",393,38
"12",127,38
"13",127,38
"14",30,38
"15",18,38
"16",90,38
"17",90,38
"18",15,38
"19",206,38
"20",146,38
"21",675,38
"22",675,38
"23",56,38
"24",93,38
"25",522,38
"26",20,38
"27",475,38
"28",644,38
"29",56,38
"30",350,38
"31",18,38
"32",125,38
"33",31,38
"34",6,38
"35",138,38
"36",377,38
"37",1221,38
"38",29,38
"39",32,38
"40",44,38
"41",15,38
"42",233,38
"43",29,38
"44",54,38
"45",30,38
"46",146,38
"47",0,38
"48",34,38
"49",678,38
"50",84,38
"51",353,38
"52",56,38
"53",192,38
"54",21,38
"55",21,38
"56",633,38
"57",70,38
"58",372,38
"59",18,38
"60",101,38
"61",847,38
"62",84,38
"63",250,38
"64",847,38
"65",87,38
"66",125,38
"67",67,38
"68",365,38
"69",806,38
"70",127,38
"71",49,38
"72",40,38
"73",38,38
"74",966,38
"75",363,38
"76",49,38
"77",350,38
"78",140,38
"79",26,38
"80",72,38
"81",99,38
"82",372,38
"83",648,38
"84",15,38
"85",22,38
"86",56,38
"87",121,38
"88",12,38
"89",32,38
"90",44,38
"91",30,38
"92",67,38
"93",0,38
"94",32,38
"95",138,38
"96",79,38
"97",38,38
"98",26,38
"99",69,38
"100",44,38
"101",1292,38
"102",475,38
"103",21,38
"104",376,38
"105",463,38
"106",38,38
"107",127,38
"108",274,38
"109",1,38
"110",145,38
"111",24,38
"112",79,38
"113",234,38
"114",31,38
"115",79,38
"116",29,38
"117",56,38
"118",58,38
"119",377,38
"120",966,38
"121",30,38
"122",50,38
"123",17,38
"124",32,38
"125",250,38
"126",157,38
"127",475,38
"128",261,38
"129",206,38
"130",604,38
"131",24,38
"132",605,38
"133",20,38
"134",709,38
"135",127,38
"136",121,38
"137",676,38
"138",39,38
"139",32,38
"140",32,38
"141",54,38
"142",26,38
"143",42,38
"144",41,38
"145",271,38
"146",244,38
"147",127,38
"148",115,38
"149",634,38
"150",648,38
"151",51,38
"152",22,38
"153",37,38
"154",350,38
"155",99,38
"156",248,38
"157",1087,38
"158",47,38
"159",66,38
"160",59,38
"161",29,38
"162",66,38
"163",127,38
"164",1087,38
"165",365,38
"166",365,38
"167",79,38
"168",206,38
"169",1440,38
"170",87,38
"171",58,38
"172",533,38
"173",26,38
"174",41,38
"175",57,38
"176",94,38
"177",508,38
"178",49,38
"179",146,38
"180",32,38
"181",44,38
"182",1417,38
"183",1417,38
"184",64,38
"185",30,38
"186",966,38
"187",21,38
"188",17,38
"189",76,38
"190",377,38
"191",372,38
"192",58,38
"193",87,38
"194",1292,38
"195",33,38
"196",101,38
"197",141,38
"198",51,38
"199",48,38
"200",133,38
"201",1087,38
"202",26,38
"203",244,38
"204",31,38
"205",44,38
"206",522,38
"207",251,38
"208",189,38
"209",208,38
"210",26,38
"211",613,38
"212",1292,38
"213",67,38
"214",797,38
"215",55,38
"216",2610,38
"217",102,38
"218",30,38
"219",31,38
"220",56,38
"221",165,38
"222",11,38
"223",1292,38
"224",429,38
"225",2676,38
"226",806,38
"227",233,38
"228",141,38
"229",377,38
"230",135,38
"231",67,38
"232",34,38
"233",199,38
"234",41,38
"235",200,38
"236",1082,38
"237",1059,38
"238",675,38
"239",38,38
"240",21,38
"241",0,38
"242",30,38
"243",35,38
"244",31,38
"245",100,38
"246",12,38
"247",1194,38
"248",376,38
"249",2610,38
"250",54,38
"251",21,38
"252",250,38
"253",475,38
"254",0,38
"255",138,38
"256",31,38
"257",37,38
"258",11,38
"259",44,38
"260",32,38
"261",76,38
"262",41,38
"263",47,38
"264",26,38
"265",1519,38
"266",21,38
"267",115,38
"268",1059,38
"269",675,38
"270",95,38
"271",1087,38
"272",268,38
"273",261,38
"274",6,38
"275",189,38
"276",34,38
"277",797,38
"278",503,38
"279",67,38
"280",86,38
"281",87,38
"282",31,38
"283",196,38
"284",233,38
"285",30,38
"286",121,38
"287",376,38
"288",35,38
"289",377,38
"290",475,38
"291",62,38
"292",32,38
"293",2610,38
"294",29,38
"295",372,38
"296",87,38
"297",30,38
"298",56,38
"299",38,38
"300",145,38
"301",30,38
"302",196,38
"303",503,38
"304",613,38
"305",1221,38
"306",34,38
"307",794,38
"308",32,38
"309",138,38
"310",73,38
"311",140,38
"312",847,38
"313",141,38
"314",99,38
"315",34,38
"316",18,38
"317",37,38
"318",17,38
"319",250,38
"320",67,38
"321",11,38
"322",60,38
"323",69,38
"324",121,38
"325",678,38
"326",86,38
"327",56,38
"328",53,38
"329",1417,38
"330",38,38
"331",233,38
"332",11,38
"333",250,38
"334",326,38
"335",73,38
"336",86,38
"337",59,38
"338",613,38
"339",350,38
"340",26,38
"341",87,38
"342",44,38
"343",0,38
"344",12,38
"345",101,38
"346",185,38
"347",29,38
"348",31,38
"349",806,38
"350",248,38
"351",326,38
"352",18,38
"353",34,38
"354",50,38
"355",15,38
"356",42,38
"357",40,38
"358",58,38
"359",93,38
"360",67,38
"361",17,38
"362",1471,38
"363",6,38
"364",376,38
"365",133,38
"366",31,38
"367",73,38
"368",99,38
"369",54,38
"370",152,38
