"","NumDiffGenes","Actual"
"1",182,0
"2",33,0
"3",175,0
"4",862,0
"5",53,0
"6",21,0
"7",0,0
"8",44,0
"9",57,0
"10",60,0
"11",642,0
"12",2,0
"13",1037,0
"14",12,0
"15",38,0
"16",553,0
"17",10,0
"18",6,0
"19",14,0
"20",0,0
"21",77,0
"22",5,0
"23",109,0
"24",38,0
"25",104,0
"26",0,0
"27",162,0
"28",40,0
"29",64,0
"30",104,0
"31",7,0
"32",1658,0
"33",1012,0
"34",21,0
"35",502,0
"36",57,0
"37",5,0
"38",88,0
"39",5,0
"40",100,0
"41",0,0
"42",1839,0
"43",3669,0
"44",1715,0
"45",48,0
"46",5,0
"47",88,0
"48",21,0
"49",14,0
"50",5,0
"51",5,0
"52",52,0
"53",466,0
"54",175,0
"55",443,0
"56",6,0
"57",46,0
"58",1516,0
"59",162,0
"60",42,0
"61",2358,0
"62",13,0
"63",394,0
"64",13,0
"65",8,0
"66",47,0
"67",2078,0
"68",91,0
"69",7,0
"70",28,0
"71",488,0
"72",3040,0
"73",42,0
"74",271,0
"75",0,0
"76",735,0
"77",48,0
"78",5,0
"79",26,0
"80",5,0
"81",14,0
"82",57,0
"83",5,0
"84",0,0
"85",104,0
"86",4,0
"87",30,0
"88",329,0
"89",12,0
"90",109,0
"91",9,0
"92",10,0
"93",0,0
"94",16,0
"95",1715,0
"96",294,0
"97",294,0
"98",85,0
"99",22,0
"100",1230,0
"101",62,0
"102",91,0
"103",0,0
"104",46,0
"105",144,0
"106",0,0
"107",57,0
"108",4,0
"109",0,0
"110",4,0
"111",0,0
"112",0,0
"113",1490,0
"114",5,0
"115",39,0
"116",48,0
"117",162,0
"118",7,0
"119",80,0
"120",0,0
"121",7,0
"122",742,0
"123",502,0
"124",16,0
"125",2,0
"126",5,0
"127",0,0
"128",683,0
"129",71,0
"130",58,0
"131",2,0
"132",7,0
"133",28,0
"134",431,0
"135",62,0
"136",88,0
"137",58,0
"138",5,0
"139",215,0
"140",175,0
"141",61,0
"142",29,0
"143",491,0
"144",8,0
"145",0,0
"146",0,0
"147",9,0
"148",6,0
"149",38,0
"150",139,0
"151",149,0
"152",140,0
"153",162,0
"154",28,0
"155",628,0
"156",431,0
"157",11,0
"158",50,0
"159",437,0
"160",104,0
"161",21,0
"162",2757,0
"163",12,0
"164",2,0
"165",642,0
"166",139,0
"167",139,0
"168",10,0
"169",126,0
"170",483,0
"171",494,0
"172",119,0
"173",215,0
"174",175,0
"175",6,0
"176",1385,0
"177",2,0
"178",163,0
"179",80,0
"180",21,0
"181",26,0
"182",4,0
"183",642,0
"184",5,0
"185",5,0
"186",2757,0
"187",628,0
"188",1715,0
"189",0,0
"190",0,0
"191",99,0
"192",109,0
"193",0,0
"194",877,0
"195",177,0
"196",971,0
"197",64,0
"198",10,0
"199",0,0
"200",628,0
"201",1,0
"202",1459,0
"203",52,0
"204",0,0
"205",135,0
"206",2,0
"207",226,0
"208",119,0
"209",16,0
"210",294,0
"211",7,0
"212",177,0
"213",16,0
"214",26,0
"215",1265,0
"216",104,0
"217",0,0
"218",0,0
"219",53,0
"220",0,0
"221",40,0
"222",3,0
"223",5,0
"224",162,0
"225",0,0
"226",6,0
"227",5,0
"228",0,0
"229",10,0
"230",0,0
"231",0,0
"232",10,0
"233",61,0
"234",139,0
"235",0,0
"236",67,0
"237",651,0
"238",862,0
"239",0,0
"240",38,0
"241",16,0
"242",135,0
"243",877,0
"244",182,0
"245",2,0
"246",5,0
"247",0,0
"248",1012,0
"249",2460,0
"250",40,0
"251",149,0
"252",182,0
"253",0,0
"254",0,0
"255",1516,0
"256",0,0
"257",80,0
"258",38,0
"259",139,0
"260",47,0
"261",191,0
"262",0,0
"263",53,0
"264",6,0
"265",38,0
"266",0,0
"267",2757,0
"268",131,0
"269",143,0
"270",735,0
"271",37,0
"272",79,0
"273",18,0
"274",33,0
"275",612,0
"276",683,0
"277",294,0
"278",119,0
"279",26,0
"280",0,0
"281",119,0
"282",163,0
"283",9,0
"284",3,0
"285",731,0
"286",50,0
"287",37,0
"288",1,0
"289",1,0
"290",149,0
"291",6,0
"292",0,0
"293",9,0
"294",143,0
"295",488,0
"296",3,0
"297",1194,0
"298",5,0
"299",80,0
"300",491,0
"301",0,0
"302",9,0
"303",80,0
"304",11,0
"305",163,0
"306",0,0
"307",0,0
"308",271,0
"309",392,0
"310",53,0
"311",3,0
"312",2,0
"313",100,0
"314",0,0
"315",162,0
"316",149,0
"317",147,0
"318",163,0
"319",26,0
"320",3669,0
"321",431,0
"322",26,0
"323",8,0
"324",26,0
"325",139,0
"326",0,0
"327",67,0
"328",50,0
"329",5,0
"330",2460,0
"331",182,0
"332",47,0
"333",0,0
"334",10,0
"335",1,0
"336",2358,0
"337",321,0
"338",300,0
"339",5,0
"340",114,0
"341",491,0
"342",0,0
"343",742,0
"344",2,0
"345",21,0
"346",9,0
"347",0,0
"348",971,0
"349",47,0
"350",971,0
"351",5,0
"352",629,0
"353",0,0
"354",104,0
"355",731,0
"356",7,0
"357",98,0
"358",0,0
"359",115,0
"360",61,0
"361",0,0
"362",6,0
"363",0,0
"364",431,0
"365",5,0
"366",0,0
"367",149,0
"368",18,0
"369",0,0
"370",40,0
"371",5,0
"372",30,0
"373",226,0
"374",431,0
"375",50,0
"376",0,0
"377",98,0
"378",2358,0
"379",61,0
"380",2358,0
"381",392,0
"382",42,0
"383",38,0
"384",7,0
"385",877,0
"386",0,0
"387",98,0
"388",64,0
"389",190,0
"390",466,0
"391",0,0
"392",61,0
"393",21,0
"394",47,0
"395",50,0
"396",16,0
"397",3,0
"398",5,0
"399",6,0
"400",40,0
"401",0,0
"402",143,0
"403",38,0
"404",1385,0
"405",162,0
"406",1839,0
"407",3,0
"408",0,0
"409",4,0
"410",1230,0
"411",139,0
"412",7,0
"413",1,0
"414",64,0
"415",437,0
"416",6,0
"417",0,0
"418",22,0
"419",13,0
"420",0,0
"421",5,0
"422",20,0
"423",3629,0
"424",491,0
"425",5,0
"426",971,0
"427",5,0
"428",88,0
"429",4,0
"430",50,0
"431",61,0
"432",50,0
"433",392,0
"434",431,0
"435",0,0
"436",4,0
"437",1,0
"438",77,0
"439",0,0
"440",20,0
"441",3669,0
"442",26,0
"443",2,0
"444",1,0
"445",0,0
"446",99,0
"447",2,0
"448",2,0
"449",0,0
"450",7,0
"451",1230,0
"452",0,0
"453",31,0
"454",53,0
"455",8,0
"456",1490,0
"457",704,0
"458",0,0
"459",85,0
"460",47,0
"461",5,0
"462",7,0
"463",49,0
"464",47,0
"465",119,0
"466",26,0
"467",1385,0
"468",53,0
"469",44,0
"470",491,0
"471",2,0
"472",191,0
"473",5,0
"474",20,0
"475",190,0
"476",271,0
"477",4,0
"478",683,0
"479",2,0
"480",61,0
"481",162,0
"482",68,0
"483",71,0
"484",18,0
"485",502,0
"486",10,0
"487",0,0
"488",1715,0
"489",139,0
"490",22,0
"491",5,0
"492",466,0
"493",615,0
"494",38,0
"495",98,0
"496",309,0
"497",1,0
"498",14,0
"499",88,0
"500",14,0
"501",877,0
"502",138,0
"503",0,0
"504",7,0
"505",51,0
"506",144,0
"507",2078,0
"508",163,0
"509",162,0
"510",0,0
"511",21,0
"512",329,0
"513",5,0
"514",71,0
"515",29,0
"516",119,0
"517",1,0
"518",50,0
"519",126,0
"520",209,0
"521",1451,0
"522",71,0
"523",0,0
"524",57,0
"525",0,0
"526",28,0
"527",5,0
"528",5,0
"529",8,0
"530",84,0
"531",971,0
"532",29,0
"533",147,0
"534",68,0
"535",9,0
"536",7,0
"537",162,0
"538",10,0
"539",139,0
"540",7,0
"541",2460,0
"542",612,0
"543",431,0
"544",6,0
"545",3629,0
"546",163,0
"547",488,0
"548",731,0
"549",2,0
"550",5,0
"551",7,0
"552",10,0
"553",392,0
"554",0,0
"555",4,0
"556",731,0
"557",42,0
"558",0,0
"559",2,0
"560",683,0
"561",0,0
"562",20,0
"563",140,0
"564",329,0
"565",17,0
"566",2,0
"567",3040,0
"568",3040,0
"569",98,0
"570",226,0
"571",22,0
"572",77,0
"573",53,0
"574",99,0
"575",61,0
"576",1,0
"577",18,0
"578",1230,0
"579",1,0
"580",71,0
"581",57,0
"582",119,0
"583",38,0
"584",16,0
"585",6,0
"586",2078,0
"587",40,0
"588",862,0
"589",29,0
"590",1385,0
"591",98,0
"592",0,0
"593",143,0
"594",0,0
"595",0,0
"596",64,0
"597",162,0
"598",1658,0
"599",84,0
"600",0,0
"601",731,0
"602",3669,0
"603",443,0
"604",615,0
"605",0,0
"606",139,0
"607",4,0
"608",1037,0
"609",39,0
"610",862,0
"611",88,0
"612",735,0
"613",553,0
"614",612,0
"615",502,0
"616",47,0
"617",139,0
"618",742,0
"619",0,0
"620",9,0
"621",68,0
"622",1,0
"623",226,0
"624",1658,0
"625",9,0
"626",57,0
"627",85,0
"628",16,0
"629",0,0
"630",1,0
"631",13,0
"632",37,0
"633",5,0
"634",321,0
"635",437,0
"636",37,0
"637",392,0
"638",21,0
"639",10,0
"640",50,0
"641",2453,0
"642",629,0
"643",0,0
"644",9,0
"645",0,0
"646",437,0
"647",2,0
"648",1,0
"649",0,0
"650",3,0
"651",79,0
"652",0,0
"653",0,0
"654",190,0
"655",85,0
"656",615,0
"657",1230,0
"658",5,0
"659",6,0
"660",1,0
"661",735,0
"662",215,0
"663",139,0
"664",190,0
"665",139,0
"666",502,0
"667",971,0
"668",494,0
"669",98,0
"670",57,0
"671",40,0
"672",2,0
"673",1451,0
"674",0,0
"675",0,0
"676",1230,0
"677",1451,0
"678",704,0
"679",33,0
"680",22,0
"681",47,0
"682",14,0
"683",98,0
"684",629,0
"685",7,0
"686",0,0
"687",16,0
"688",40,0
"689",3,0
"690",39,0
"691",3,0
"692",28,0
"693",271,0
"694",2,0
"695",1658,0
"696",119,0
"697",119,0
"698",0,0
"699",731,0
"700",431,0
"701",0,0
"702",209,0
"703",18,0
"704",84,0
"705",14,0
"706",7,0
"707",79,0
"708",8,0
"709",0,0
"710",1056,0
"711",48,0
"712",862,0
"713",2,0
"714",30,0
"715",144,0
"716",443,0
"717",31,0
"718",3040,0
"719",2757,0
"720",0,0
"721",3669,0
"722",26,0
"723",628,0
"724",2,0
"725",5,0
"726",0,0
"727",42,0
"728",104,0
"729",47,0
"730",9,0
"731",13,0
"732",612,0
"733",0,0
"734",1037,0
"735",5,0
"736",0,0
"737",30,0
"738",11,0
"739",5,0
"740",1459,0
"741",26,0
"742",44,0
"743",1230,0
"744",215,0
"745",175,0
"746",309,0
"747",71,0
"748",2,0
"749",80,0
"750",209,0
"751",48,0
"752",9,0
"753",71,0
"754",64,0
"755",1451,0
"756",49,0
"757",33,0
"758",2,0
"759",0,0
"760",40,0
"761",1839,0
"762",209,0
"763",80,0
"764",488,0
"765",1012,0
"766",182,0
"767",0,0
"768",7,0
"769",309,0
"770",0,0
"771",126,0
"772",39,0
"773",0,0
"774",67,0
"775",2166,0
"776",126,0
"777",140,0
"778",877,0
"779",0,0
"780",5,0
"781",629,0
"782",3,0
"783",437,0
"784",0,0
"785",53,0
"786",9,0
"787",29,0
"788",2,0
"789",14,0
"790",494,0
"791",5,0
"792",502,0
"793",0,0
"794",1,0
"795",683,0
"796",53,0
"797",57,0
"798",9,0
"799",1037,0
"800",7,0
"801",80,0
"802",483,0
"803",0,0
"804",10,0
"805",21,0
"806",50,0
"807",1,0
"808",18,0
"809",9,0
"810",1,0
"811",1056,0
"812",9,0
"813",46,0
"814",491,0
"815",209,0
"816",26,0
"817",26,0
"818",735,0
"819",9,0
"820",10,0
"821",2,0
"822",1075,0
"823",104,0
"824",1230,0
"825",30,0
"826",57,0
"827",8,0
"828",10,0
"829",39,0
"830",9,0
"831",8,0
"832",182,0
"833",8,0
"834",0,0
"835",198,0
"836",226,0
"837",64,0
"838",1,0
"839",47,0
"840",26,0
"841",119,0
"842",0,0
"843",31,0
"844",6,0
"845",0,0
"846",6,0
"847",0,0
"848",138,0
"849",5,0
"850",29,0
"851",40,0
"852",22,0
"853",5,0
"854",85,0
"855",329,0
"856",2078,0
"857",0,0
"858",3629,0
"859",9,0
"860",62,0
"861",84,0
"862",629,0
"863",0,0
"864",140,0
"865",1230,0
"866",0,0
"867",0,0
"868",182,0
"869",2,0
"870",4,0
"871",483,0
"872",431,0
"873",126,0
"874",39,0
"875",114,0
"876",62,0
"877",0,0
"878",38,0
"879",5,0
"880",488,0
"881",2,0
"882",31,0
"883",42,0
"884",971,0
"885",0,0
"886",18,0
"887",60,0
"888",1658,0
"889",0,0
"890",131,0
"891",4,0
"892",21,0
"893",2,0
"894",0,0
"895",491,0
"896",443,0
"897",0,0
"898",48,0
"899",6,0
"900",683,0
"901",29,0
"902",88,0
"903",209,0
"904",2,0
"905",209,0
"906",2,0
