"","NumDiffGenes","Actual"
"1",10,13
"2",6,13
"3",56,13
"4",14,13
"5",2,13
"6",0,13
"7",59,13
"8",7,13
"9",6,13
"10",0,13
"11",12,13
"12",3,13
"13",85,13
"14",85,13
"15",179,13
"16",1,13
"17",1,13
"18",2,13
"19",3,13
"20",3,13
"21",6,13
"22",72,13
"23",2,13
"24",10,13
"25",2,13
"26",1,13
"27",9,13
"28",4,13
"29",8,13
"30",2,13
"31",13,13
"32",25,13
"33",13,13
"34",85,13
"35",0,13
"36",1,13
"37",13,13
"38",14,13
"39",0,13
"40",230,13
"41",0,13
"42",0,13
"43",0,13
"44",1,13
"45",49,13
"46",14,13
"47",0,13
"48",8,13
"49",1,13
"50",35,13
"51",4,13
"52",14,13
"53",0,13
"54",86,13
"55",3,13
"56",6,13
"57",0,13
"58",3,13
"59",5,13
"60",1,13
"61",35,13
"62",1,13
"63",1,13
"64",3,13
"65",5,13
"66",27,13
"67",0,13
"68",1,13
"69",13,13
"70",13,13
"71",7,13
"72",6,13
"73",0,13
"74",0,13
"75",0,13
"76",1,13
"77",5,13
"78",6,13
"79",1,13
"80",3,13
"81",5,13
"82",2,13
"83",0,13
"84",0,13
"85",2,13
"86",25,13
"87",1,13
"88",0,13
"89",0,13
"90",3,13
"91",6,13
"92",17,13
"93",253,13
"94",18,13
"95",1,13
"96",1,13
"97",0,13
"98",6,13
"99",1,13
"100",8,13
"101",36,13
"102",17,13
"103",29,13
"104",6,13
"105",0,13
"106",3,13
"107",6,13
"108",8,13
"109",1,13
"110",6,13
"111",1,13
"112",4,13
"113",25,13
"114",22,13
"115",2219,13
"116",30,13
"117",0,13
"118",9,13
"119",0,13
"120",1495,13
"121",23,13
"122",22,13
"123",217,13
"124",0,13
"125",0,13
"126",28,13
"127",102,13
"128",2219,13
"129",25,13
"130",7,13
"131",1495,13
"132",89,13
"133",1,13
"134",2,13
"135",5,13
"136",0,13
"137",2,13
"138",14,13
"139",2,13
"140",4,13
"141",1,13
"142",7,13
"143",5,13
"144",4,13
"145",4,13
"146",59,13
"147",0,13
"148",2,13
"149",3,13
"150",29,13
"151",3,13
"152",1,13
"153",12,13
"154",30,13
"155",3,13
"156",0,13
"157",85,13
"158",6,13
"159",0,13
"160",96,13
"161",1,13
"162",1,13
"163",8,13
"164",0,13
"165",1,13
"166",8,13
"167",0,13
"168",8,13
"169",9,13
"170",17,13
"171",2,13
"172",3,13
"173",2,13
"174",1,13
"175",3,13
"176",6,13
"177",1,13
"178",25,13
"179",18,13
"180",9,13
"181",0,13
"182",1,13
"183",2,13
"184",3,13
"185",1,13
"186",2,13
"187",21,13
"188",6,13
"189",26,13
"190",1,13
"191",28,13
"192",1,13
"193",0,13
"194",18,13
"195",1,13
"196",6,13
"197",31,13
"198",1,13
"199",2,13
"200",6,13
"201",6,13
"202",3,13
"203",3,13
"204",217,13
"205",179,13
"206",49,13
"207",4,13
"208",1,13
"209",21,13
"210",6,13
"211",2,13
"212",6,13
"213",6,13
"214",7,13
"215",2,13
"216",26,13
"217",8,13
"218",2,13
"219",9,13
"220",5,13
"221",0,13
"222",72,13
"223",18,13
"224",5,13
"225",0,13
"226",16,13
"227",15,13
"228",18,13
"229",10,13
"230",0,13
"231",0,13
"232",6,13
"233",3,13
"234",9,13
"235",0,13
"236",1,13
"237",5,13
"238",1,13
"239",6,13
"240",0,13
"241",3,13
"242",2,13
"243",11,13
"244",2,13
"245",230,13
"246",0,13
"247",30,13
"248",1,13
"249",43,13
"250",43,13
"251",4,13
"252",14,13
"253",0,13
"254",4,13
"255",2,13
"256",23,13
"257",86,13
"258",5,13
"259",0,13
"260",16,13
"261",1495,13
"262",19,13
"263",1,13
"264",1,13
"265",5,13
"266",7,13
"267",5,13
"268",12,13
"269",12,13
"270",1,13
"271",3,13
"272",0,13
"273",59,13
"274",13,13
"275",1,13
"276",3,13
"277",3,13
"278",22,13
"279",3,13
"280",217,13
"281",0,13
"282",1,13
"283",36,13
"284",9,13
"285",54,13
"286",26,13
"287",25,13
"288",6,13
"289",4,13
"290",27,13
"291",13,13
"292",0,13
"293",0,13
"294",2,13
"295",0,13
"296",14,13
"297",11,13
"298",4,13
"299",19,13
"300",1,13
"301",4,13
"302",0,13
"303",0,13
"304",0,13
"305",4,13
"306",102,13
"307",12,13
"308",1,13
"309",6,13
"310",12,13
"311",4,13
"312",9,13
"313",217,13
"314",5,13
"315",18,13
"316",1,13
"317",0,13
"318",2,13
"319",17,13
"320",1,13
"321",59,13
"322",0,13
"323",217,13
"324",0,13
"325",12,13
"326",0,13
"327",0,13
"328",9,13
"329",0,13
"330",2,13
"331",1564,13
"332",9,13
"333",89,13
"334",2,13
"335",16,13
"336",18,13
"337",2,13
"338",89,13
"339",0,13
"340",0,13
"341",6,13
"342",30,13
"343",7,13
"344",5,13
"345",7,13
"346",29,13
"347",3,13
"348",16,13
"349",4,13
"350",14,13
"351",1,13
"352",0,13
"353",39,13
"354",1,13
"355",0,13
"356",8,13
"357",3,13
"358",10,13
"359",1,13
"360",2,13
"361",30,13
"362",179,13
"363",3,13
"364",2,13
"365",3,13
"366",4,13
"367",1,13
"368",1,13
"369",1,13
"370",8,13
"371",1,13
"372",1,13
"373",8,13
"374",1,13
"375",1,13
"376",20,13
"377",96,13
"378",1,13
"379",56,13
"380",5,13
"381",0,13
"382",1,13
"383",5,13
"384",7,13
"385",25,13
"386",1,13
"387",85,13
"388",0,13
"389",17,13
"390",1,13
"391",234,13
"392",10,13
"393",54,13
"394",16,13
"395",0,13
"396",3,13
"397",2,13
"398",0,13
"399",16,13
"400",7,13
"401",14,13
"402",2,13
"403",27,13
"404",2,13
"405",2,13
"406",0,13
"407",10,13
"408",2,13
"409",7,13
"410",0,13
"411",3,13
"412",0,13
"413",9,13
"414",1,13
"415",0,13
"416",0,13
"417",39,13
"418",3,13
"419",1,13
"420",7,13
"421",2,13
"422",0,13
"423",7,13
"424",5,13
"425",1,13
"426",3,13
"427",22,13
"428",0,13
"429",2,13
"430",5,13
"431",1,13
"432",1,13
"433",4,13
"434",10,13
"435",31,13
"436",16,13
"437",2,13
"438",1,13
"439",0,13
"440",18,13
"441",3,13
"442",2,13
"443",3,13
"444",6,13
"445",86,13
"446",21,13
"447",16,13
"448",9,13
"449",5,13
"450",12,13
"451",4,13
"452",0,13
"453",2,13
"454",2,13
"455",1,13
"456",0,13
"457",1,13
"458",0,13
"459",21,13
"460",2,13
"461",49,13
"462",6,13
"463",13,13
"464",30,13
"465",96,13
"466",0,13
"467",16,13
"468",5,13
"469",2,13
"470",11,13
"471",4,13
"472",1,13
"473",2,13
"474",6,13
"475",9,13
"476",30,13
"477",6,13
"478",5,13
"479",5,13
"480",16,13
"481",6,13
"482",13,13
"483",0,13
"484",2,13
"485",0,13
"486",5,13
"487",2,13
"488",30,13
"489",29,13
"490",2,13
"491",14,13
"492",54,13
"493",2,13
"494",30,13
"495",0,13
"496",6,13
"497",25,13
"498",3,13
"499",0,13
"500",4,13
"501",2,13
"502",7,13
"503",21,13
"504",0,13
"505",1,13
"506",2,13
"507",22,13
"508",5,13
"509",3,13
"510",18,13
"511",18,13
"512",2,13
"513",9,13
"514",22,13
"515",30,13
"516",16,13
"517",4,13
"518",4,13
"519",0,13
"520",0,13
"521",0,13
"522",2,13
"523",29,13
"524",3,13
"525",1,13
"526",3,13
"527",28,13
"528",2,13
"529",7,13
"530",22,13
"531",59,13
"532",8,13
"533",6,13
"534",1,13
"535",18,13
"536",8,13
"537",54,13
"538",10,13
"539",234,13
"540",5,13
"541",0,13
"542",7,13
"543",30,13
"544",6,13
"545",28,13
"546",2,13
"547",9,13
"548",2,13
"549",0,13
"550",1,13
"551",4,13
"552",59,13
"553",6,13
"554",3,13
"555",9,13
"556",0,13
"557",5,13
"558",1,13
"559",1,13
"560",96,13
"561",2,13
"562",8,13
"563",28,13
"564",9,13
"565",1,13
"566",253,13
"567",9,13
"568",3,13
"569",27,13
"570",1,13
"571",6,13
"572",1,13
"573",13,13
"574",12,13
"575",0,13
"576",1,13
"577",59,13
"578",3,13
"579",7,13
"580",6,13
"581",1,13
"582",1,13
"583",4,13
"584",5,13
"585",1,13
"586",1,13
"587",2,13
"588",1,13
"589",1,13
"590",0,13
"591",0,13
"592",0,13
"593",2,13
"594",13,13
"595",14,13
"596",0,13
"597",2,13
"598",29,13
"599",21,13
"600",0,13
"601",4,13
"602",6,13
"603",23,13
"604",102,13
"605",30,13
"606",5,13
"607",7,13
"608",0,13
"609",0,13
"610",17,13
"611",5,13
"612",2,13
"613",1564,13
"614",0,13
"615",3,13
"616",0,13
"617",9,13
"618",0,13
"619",2,13
"620",8,13
"621",102,13
"622",2,13
"623",0,13
"624",8,13
"625",8,13
"626",89,13
"627",2,13
"628",9,13
"629",3,13
"630",0,13
"631",2,13
"632",6,13
"633",17,13
"634",0,13
"635",2,13
"636",6,13
"637",1,13
"638",1,13
"639",29,13
"640",2,13
"641",0,13
"642",59,13
"643",0,13
"644",9,13
"645",30,13
"646",0,13
"647",21,13
"648",13,13
"649",2,13
"650",0,13
"651",12,13
"652",14,13
"653",0,13
"654",16,13
"655",3,13
"656",14,13
"657",13,13
"658",2,13
"659",1,13
"660",1,13
"661",28,13
"662",89,13
"663",13,13
"664",33,13
"665",6,13
"666",17,13
"667",7,13
"668",9,13
"669",0,13
"670",1,13
"671",3,13
"672",0,13
"673",2,13
"674",28,13
"675",1,13
"676",4,13
"677",0,13
"678",22,13
"679",2219,13
"680",6,13
"681",15,13
"682",6,13
"683",89,13
"684",62,13
"685",1,13
"686",0,13
"687",3,13
"688",62,13
"689",1,13
"690",2,13
"691",27,13
"692",1564,13
"693",0,13
"694",10,13
"695",35,13
"696",6,13
"697",6,13
"698",4,13
"699",5,13
"700",6,13
"701",28,13
"702",27,13
"703",33,13
"704",59,13
"705",5,13
"706",3,13
"707",1,13
"708",1,13
"709",1,13
"710",0,13
"711",230,13
"712",14,13
"713",18,13
"714",5,13
"715",10,13
"716",5,13
"717",12,13
"718",0,13
"719",10,13
"720",27,13
"721",1,13
"722",72,13
"723",1,13
"724",13,13
"725",25,13
"726",26,13
"727",27,13
"728",3,13
"729",18,13
"730",2,13
"731",1,13
"732",4,13
"733",4,13
"734",2,13
"735",4,13
"736",1,13
"737",3,13
"738",0,13
"739",4,13
"740",22,13
"741",3,13
"742",4,13
"743",21,13
"744",6,13
"745",1,13
"746",6,13
"747",11,13
"748",96,13
"749",1,13
"750",2,13
"751",56,13
"752",179,13
"753",7,13
"754",129,13
"755",31,13
"756",6,13
"757",62,13
"758",7,13
"759",1,13
"760",13,13
"761",1,13
"762",1,13
"763",39,13
"764",2,13
"765",3,13
"766",0,13
"767",30,13
"768",0,13
"769",23,13
"770",2,13
"771",22,13
"772",1,13
"773",0,13
"774",17,13
"775",14,13
"776",11,13
"777",3,13
"778",0,13
"779",1,13
"780",0,13
"781",1,13
"782",54,13
"783",1,13
"784",3,13
"785",0,13
"786",21,13
"787",0,13
"788",18,13
"789",0,13
"790",5,13
"791",7,13
"792",1,13
"793",26,13
"794",19,13
"795",27,13
"796",10,13
"797",3,13
"798",2,13
"799",7,13
"800",4,13
"801",12,13
"802",26,13
"803",35,13
"804",2,13
"805",665,13
"806",2,13
"807",5,13
"808",2,13
"809",2,13
"810",9,13
"811",16,13
"812",2,13
"813",21,13
"814",27,13
"815",21,13
"816",1,13
"817",4,13
"818",23,13
"819",29,13
"820",4,13
"821",9,13
"822",1,13
"823",2,13
"824",6,13
"825",4,13
"826",54,13
"827",1,13
"828",0,13
"829",31,13
"830",1,13
"831",0,13
"832",33,13
"833",665,13
"834",1,13
"835",0,13
"836",0,13
"837",18,13
"838",1,13
"839",72,13
"840",1,13
"841",59,13
"842",14,13
"843",0,13
"844",43,13
"845",4,13
"846",14,13
"847",14,13
"848",4,13
"849",1564,13
"850",0,13
"851",6,13
"852",12,13
"853",1,13
"854",27,13
"855",26,13
"856",2,13
"857",59,13
"858",7,13
"859",72,13
"860",4,13
"861",0,13
"862",3,13
"863",16,13
"864",6,13
"865",5,13
"866",6,13
"867",28,13
"868",13,13
"869",96,13
"870",2,13
"871",0,13
"872",62,13
"873",234,13
"874",2,13
"875",56,13
"876",6,13
"877",1,13
"878",10,13
"879",2,13
"880",0,13
"881",43,13
"882",0,13
"883",6,13
"884",5,13
"885",3,13
"886",3,13
"887",59,13
"888",89,13
"889",12,13
"890",14,13
"891",10,13
"892",2,13
"893",7,13
"894",59,13
"895",0,13
"896",14,13
"897",0,13
"898",29,13
"899",21,13
"900",16,13
"901",29,13
"902",4,13
"903",0,13
"904",12,13
"905",5,13
"906",0,13
"907",3,13
"908",6,13
"909",21,13
"910",3,13
"911",6,13
"912",13,13
"913",4,13
"914",10,13
"915",2,13
"916",3,13
"917",1,13
"918",1,13
"919",1,13
"920",7,13
"921",2,13
"922",0,13
"923",59,13
"924",2,13
"925",56,13
"926",0,13
"927",253,13
"928",30,13
"929",96,13
"930",2,13
"931",11,13
"932",9,13
"933",10,13
"934",1,13
"935",0,13
"936",1,13
"937",3,13
"938",2,13
"939",4,13
"940",1,13
"941",72,13
"942",0,13
"943",89,13
"944",4,13
"945",12,13
"946",2,13
"947",20,13
"948",6,13
"949",1,13
"950",22,13
"951",5,13
