FR14_DE	FR58_DE	FR912_DE	FR1619_DE	FR2326_DE
ENSG00000109805	NA	NA	FR912	NA	NA
ENSG00000112996	NA	NA	FR912	NA	NA
ENSG00000120738	NA	NA	FR912	NA	NA
ENSG00000125746	NA	NA	FR912	NA	NA
ENSG00000127463	NA	NA	FR912	NA	NA
ENSG00000130699	NA	NA	FR912	NA	NA
ENSG00000133169	NA	NA	FR912	NA	NA
ENSG00000134970	NA	NA	FR912	NA	NA
ENSG00000136783	NA	NA	FR912	NA	NA
ENSG00000136872	NA	NA	FR912	NA	NA
ENSG00000137074	NA	NA	FR912	NA	NA
ENSG00000138942	NA	NA	FR912	NA	NA
ENSG00000140749	NA	NA	FR912	NA	NA
ENSG00000140945	NA	NA	FR912	NA	NA
ENSG00000142655	NA	NA	FR912	NA	NA
ENSG00000145220	NA	NA	FR912	NA	NA
ENSG00000145476	NA	NA	FR912	NA	NA
ENSG00000147202	NA	NA	FR912	NA	NA
ENSG00000147224	NA	NA	FR912	NA	NA
ENSG00000148362	NA	NA	FR912	NA	NA
ENSG00000149196	NA	NA	FR912	NA	NA
ENSG00000155961	NA	NA	FR912	NA	NA
ENSG00000156463	NA	NA	FR912	NA	NA
ENSG00000157014	NA	NA	FR912	NA	NA
ENSG00000157110	NA	NA	FR912	NA	NA
ENSG00000157510	NA	NA	FR912	NA	NA
ENSG00000158164	NA	NA	FR912	NA	NA
ENSG00000158828	NA	NA	FR912	NA	NA
ENSG00000159055	NA	NA	FR912	NA	NA
ENSG00000159210	NA	NA	FR912	NA	NA
ENSG00000159713	NA	NA	FR912	NA	NA
ENSG00000160256	NA	NA	FR912	NA	NA
ENSG00000160298	NA	NA	FR912	NA	NA
ENSG00000160877	NA	NA	FR912	NA	NA
ENSG00000162144	NA	NA	FR912	NA	NA
ENSG00000164047	NA	NA	FR912	NA	NA
ENSG00000164209	NA	NA	FR912	NA	NA
ENSG00000164338	NA	NA	FR912	NA	NA
ENSG00000167815	NA	NA	FR912	NA	NA
ENSG00000167925	NA	NA	FR912	NA	NA
ENSG00000168496	NA	NA	FR912	NA	NA
ENSG00000169955	NA	NA	FR912	NA	NA
ENSG00000170627	NA	NA	FR912	NA	NA
ENSG00000170855	NA	NA	FR912	NA	NA
ENSG00000171135	NA	NA	FR912	NA	NA
ENSG00000171421	NA	NA	FR912	NA	NA
ENSG00000172113	NA	NA	FR912	NA	NA
ENSG00000172673	NA	NA	FR912	NA	NA
ENSG00000172840	NA	NA	FR912	NA	NA
ENSG00000173218	NA	NA	FR912	NA	NA
ENSG00000173409	NA	NA	FR912	NA	NA
ENSG00000179262	NA	NA	FR912	NA	NA
ENSG00000181381	NA	NA	FR912	NA	NA
ENSG00000182518	NA	NA	FR912	NA	NA
ENSG00000183513	NA	NA	FR912	NA	NA
ENSG00000184730	NA	NA	FR912	NA	NA
ENSG00000187608	NA	NA	FR912	NA	NA
ENSG00000198483	NA	NA	FR912	NA	NA
ENSG00000198909	NA	NA	FR912	NA	NA
ENSG00000198959	NA	NA	FR912	NA	NA
ENSG00000203326	NA	NA	FR912	NA	NA
ENSG00000203668	NA	NA	FR912	NA	NA
ENSG00000234444	NA	NA	FR912	NA	NA
ENSG00000257335	NA	NA	FR912	NA	NA
ENSG00000267060	NA	NA	FR912	NA	NA
ENSG00000274180	NA	NA	FR912	NA	NA
ENSG00000274523	NA	NA	FR912	NA	NA
ENSG00000275221	NA	NA	FR912	NA	NA
ENSG00000278463	NA	NA	FR912	NA	NA
ENSG00000001084	NA	NA	NA	FR1619	NA
ENSG00000005156	NA	NA	NA	FR1619	NA
ENSG00000005189	NA	NA	NA	FR1619	NA
ENSG00000006712	NA	NA	NA	FR1619	NA
ENSG00000006744	NA	NA	NA	FR1619	NA
ENSG00000028310	NA	NA	NA	FR1619	NA
ENSG00000039319	NA	NA	NA	FR1619	NA
ENSG00000053501	NA	NA	NA	FR1619	NA
ENSG00000064932	NA	NA	NA	FR1619	NA
ENSG00000066926	NA	NA	NA	FR1619	NA
ENSG00000067334	NA	NA	NA	FR1619	NA
ENSG00000067646	NA	NA	NA	FR1619	NA
ENSG00000068878	NA	NA	NA	FR1619	NA
ENSG00000069702	NA	NA	NA	FR1619	NA
ENSG00000070018	NA	NA	NA	FR1619	NA
ENSG00000074071	NA	NA	NA	FR1619	NA
ENSG00000080845	NA	NA	NA	FR1619	NA
ENSG00000082068	NA	NA	NA	FR1619	NA
ENSG00000095574	NA	NA	NA	FR1619	NA
ENSG00000101220	NA	NA	NA	FR1619	NA
ENSG00000101336	NA	NA	NA	FR1619	NA
ENSG00000101901	NA	NA	NA	FR1619	NA
ENSG00000104522	NA	NA	NA	FR1619	NA
ENSG00000104872	NA	NA	NA	FR1619	NA
ENSG00000105254	NA	NA	NA	FR1619	NA
ENSG00000105373	NA	NA	NA	FR1619	NA
ENSG00000105939	NA	NA	NA	FR1619	NA
ENSG00000106367	NA	NA	NA	FR1619	NA
ENSG00000106803	NA	NA	NA	FR1619	NA
ENSG00000107719	NA	NA	NA	FR1619	NA
ENSG00000108465	NA	NA	NA	FR1619	NA
ENSG00000109323	NA	NA	NA	FR1619	NA
ENSG00000112651	NA	NA	NA	FR1619	NA
ENSG00000113391	NA	NA	NA	FR1619	NA
ENSG00000114023	NA	NA	NA	FR1619	NA
ENSG00000114354	NA	NA	NA	FR1619	NA
ENSG00000114742	NA	NA	NA	FR1619	NA
ENSG00000115163	NA	NA	NA	FR1619	NA
ENSG00000115365	NA	NA	NA	FR1619	NA
ENSG00000117308	NA	NA	NA	FR1619	NA
ENSG00000117450	NA	NA	NA	FR1619	NA
ENSG00000118271	NA	NA	NA	FR1619	NA
ENSG00000119408	NA	NA	NA	FR1619	NA
ENSG00000119950	NA	NA	NA	FR1619	NA
ENSG00000123146	NA	NA	NA	FR1619	NA
ENSG00000123268	NA	NA	NA	FR1619	NA
ENSG00000124302	NA	NA	NA	FR1619	NA
ENSG00000126787	NA	NA	NA	FR1619	NA
ENSG00000127554	NA	NA	NA	FR1619	NA
ENSG00000128590	NA	NA	NA	FR1619	NA
ENSG00000129187	NA	NA	NA	FR1619	NA
ENSG00000130303	NA	NA	NA	FR1619	NA
ENSG00000131368	NA	NA	NA	FR1619	NA
ENSG00000132514	NA	NA	NA	FR1619	NA
ENSG00000134248	NA	NA	NA	FR1619	NA
ENSG00000135045	NA	NA	NA	FR1619	NA
ENSG00000135048	NA	NA	NA	FR1619	NA
ENSG00000135164	NA	NA	NA	FR1619	NA
ENSG00000135678	NA	NA	NA	FR1619	NA
ENSG00000135899	NA	NA	NA	FR1619	NA
ENSG00000136840	NA	NA	NA	FR1619	NA
ENSG00000137959	NA	NA	NA	FR1619	NA
ENSG00000138030	NA	NA	NA	FR1619	NA
ENSG00000140854	NA	NA	NA	FR1619	NA
ENSG00000141699	NA	NA	NA	FR1619	NA
ENSG00000141858	NA	NA	NA	FR1619	NA
ENSG00000142039	NA	NA	NA	FR1619	NA
ENSG00000142089	NA	NA	NA	FR1619	NA
ENSG00000142507	NA	NA	NA	FR1619	NA
