baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000138346	82.9438921374999	-5.49398735198022	1.10894994156154	-5.13879626030145	2.76503992301952e-07	0.00322514256620997
ENSG00000162999	27.3065306771032	-4.78221602037287	0.982771220274833	-4.88500030872232	1.03428691758754e-06	0.00603196130337051
ENSG00000100979	34.5069434096936	-4.8510599922121	1.03852205976814	-4.74437362041616	2.09152506758922e-06	0.00813184946278689
ENSG00000115541	21.725611551553	-4.49221543260282	0.988031905005688	-4.57278839404167	4.81276125007116e-06	0.00935600787013833
ENSG00000116117	40.0291127528715	-4.85952411367829	1.07894829492166	-4.62034326539606	3.83105665892319e-06	0.00935600787013833
ENSG00000179833	38.8707485317871	-4.84005018346349	1.07651514540474	-4.60848994466597	4.05603986430168e-06	0.00935600787013833
ENSG00000119408	45.5159802283612	4.77271954135684	1.03841939866783	4.53130573079693	5.86202295021108e-06	0.00970346711380225
ENSG00000185736	28.4706640420582	-4.62269344735949	1.0433181909799	-4.50442380102037	6.6553272385475e-06	0.00970346711380225
ENSG00000124523	39.3212939303996	-4.68420189832385	1.06799853421885	-4.47475126239757	7.65003176327205e-06	0.00991444116520058
ENSG00000055483	26.9159219418822	-4.52868162963589	1.05133028372715	-4.38766480130094	1.14574172616137e-05	0.0121490286308602
ENSG00000137962	28.2637202468649	-4.55954154085195	1.05695174892947	-4.40050226782464	1.0800059880653e-05	0.0121490286308602
ENSG00000130956	41.9238787448476	-4.18954480924808	0.961798346276602	-4.32790704800221	1.50532969708014e-05	0.0126059696383316
ENSG00000131873	30.4109509353659	-4.4819351120245	1.04544630580585	-4.35386478028648	1.33758229782452e-05	0.0126059696383316
ENSG00000133243	61.0622115575826	-4.81734041012584	1.17968964029627	-4.32677814716499	1.51306219938822e-05	0.0126059696383316
ENSG00000276045	51.1220898848916	-4.73624067283098	1.16069963282496	-4.29963165795799	1.71082217010021e-05	0.0133033531946992
ENSG00000134317	98.2043723674649	-4.6609097158657	1.12698065570064	-4.26051872959352	2.03952989136444e-05	0.0139935745016911
ENSG00000162585	20.5244566185121	-4.31477167797908	1.02390598957138	-4.26801332961204	1.97221545596837e-05	0.0139935745016911
ENSG00000148296	32.2169275372243	-4.47061201109536	1.11652113501077	-4.14821219807392	3.35081746010467e-05	0.0186113975498385
ENSG00000158874	37.5699123615503	4.76400572709619	1.1399426572147	4.15125204638537	3.30661370992983e-05	0.0186113975498385
ENSG00000171603	36.7325409795741	-4.52848440518713	1.13468701365142	-4.15949988965058	3.18945175049886e-05	0.0186113975498385
ENSG00000197451	30.3510411097646	-4.37980295724015	1.07081383770691	-4.17480120810691	2.98246373320386e-05	0.0186113975498385
ENSG00000102007	19.656356292448	-4.20627952076016	1.04019901889078	-4.11054481656203	3.94726655051801e-05	0.0191837154355175
ENSG00000120159	38.3161115341745	-4.46575093819902	1.12097411981236	-4.11546612422454	3.86397746994715e-05	0.0191837154355175
ENSG00000183813	32.3711897902081	-4.44781389728089	1.12243477327719	-4.11309026498805	3.9039764711108e-05	0.0191837154355175
ENSG00000090020	36.5009691058688	-4.0339757259877	0.98407884202124	-4.09960746679081	4.13851465729902e-05	0.0193086539850943
ENSG00000122966	20.4824859705619	-4.19415649878264	1.0566815665148	-4.04967962570692	5.12877981658938e-05	0.0230084953002687
ENSG00000129084	20.7724881940392	-4.19719172334371	1.06254873365541	-4.03397588369089	5.48409488800409e-05	0.0236912899161776
ENSG00000175606	244.793421816702	-4.84314140298942	1.27895837717701	-4.00979926729928	6.07703875447179e-05	0.0253152071543425
ENSG00000131711	36.8312578311906	-4.28966750024077	1.09566331015632	-3.99610581022085	6.43929618992088e-05	0.0258992933652542
ENSG00000168538	16.8314063348979	-4.04913226777096	1.03256913927559	-3.98127131739149	6.85476504488983e-05	0.0266513264945317
ENSG00000110002	26.4904240718939	-4.2656126432199	1.11545340909668	-3.95847300953904	7.54304629904546e-05	0.0266612400097171
ENSG00000143119	34.5614892855757	4.58688004342528	1.15481115207054	3.96305476188789	7.39967995310173e-05	0.0266612400097171
ENSG00000166529	26.6535815669102	-4.27528953913413	1.11462911402856	-3.96960209774854	7.19927540847105e-05	0.0266612400097171
ENSG00000072952	27.1333050577129	-4.09326863022647	1.06621227241354	-3.90668027418717	9.35728373737181e-05	0.0266991321188464
ENSG00000108861	21.7759444221892	-3.97249171890674	1.01741057233054	-3.94360608456208	8.02654607772454e-05	0.0266991321188464
ENSG00000114738	35.5595106706039	-4.25751685280562	1.12084169557584	-3.91358546703096	9.09356934180804e-05	0.0266991321188464
ENSG00000135083	19.4507236553309	-4.08144098836542	1.07377576488017	-3.89209122667406	9.9383858798481e-05	0.0266991321188464
ENSG00000137842	25.1843066558985	-4.21955503568329	1.11254610075027	-3.9230603870375	8.74312257075038e-05	0.0266991321188464
ENSG00000151789	81.8042157832966	-4.41454853426427	1.13687253163309	-3.89753820378225	9.7175496043993e-05	0.0266991321188464
ENSG00000163092	28.7431852402534	-4.25582280162665	1.13922693922814	-3.89415239234675	9.85426880390477e-05	0.0266991321188464
ENSG00000163156	35.1640113046234	-4.32061208504389	1.16908739948564	-3.89610291690217	9.77528640924799e-05	0.0266991321188464
ENSG00000165309	41.993708434188	-4.29968670632477	1.13403414384792	-3.88885831599446	0.000100716890708954	0.0266991321188464
ENSG00000167880	29.2846905281382	-4.27096868371817	1.13941568682761	-3.90872426581248	9.27847903608349e-05	0.0266991321188464
ENSG00000168872	20.4060446358797	-4.13186240393942	1.0740217938922	-3.94008644159925	8.1452254123464e-05	0.0266991321188464
ENSG00000120029	26.7513415602769	-4.21292737908131	1.12972301505858	-3.87701232869559	0.000105747001753214	0.0268137614880324
ENSG00000143156	24.7103612959621	-4.17971097755723	1.11604594252111	-3.87856816070172	0.000105073087767673	0.0268137614880324
ENSG00000151553	18.1183661084255	-4.01951442325266	1.06484660224168	-3.85993540471689	0.000113417002055546	0.0277122634984611
ENSG00000169371	45.3967334529455	-3.90809805754705	1.00941055553204	-3.85354865332776	0.000116418116548748	0.0277122634984611
ENSG00000181038	18.3254142871007	4.1976203505746	1.07379984780427	3.85684703957218	0.000114858986001011	0.0277122634984611
ENSG00000011405	19.1603781697276	-4.02494241017579	1.0827454895806	-3.81598106245841	0.000135642907915659	0.0277560187709796
ENSG00000072518	25.0604846079153	-4.15195051485849	1.12792612175619	-3.82394671391942	0.00013133231036224	0.0277560187709796
ENSG00000079739	37.23489047521	-4.29462749820779	1.18611279761931	-3.84245801180543	0.000121808257368271	0.0277560187709796
ENSG00000099308	38.8892442598883	-3.91547632163632	1.01436906322152	-3.84296167238378	0.000121558458218981	0.0277560187709796
ENSG00000110324	20.2097109277921	-4.05874376325741	1.09010926476895	-3.82876948996791	0.00012878555869786	0.0277560187709796
ENSG00000131467	18.7139476870617	-3.95770849731458	1.05945395115634	-3.80991706557672	0.000139013416072298	0.0277560187709796
ENSG00000146592	19.7146335160816	3.83332170437564	0.995288917535981	3.80034789497311	0.000144493088330877	0.0277560187709796
ENSG00000153283	38.6619323803689	4.55447148032383	1.19897903764452	3.81363331356776	0.000136938602679206	0.0277560187709796
ENSG00000154124	24.322998311191	-4.13147181542086	1.1271075796451	-3.80479936410053	0.000141919178396994	0.0277560187709796
ENSG00000165338	20.7232134732028	-4.05398344256076	1.09978201744406	-3.79921094158675	0.000145157505575254	0.0277560187709796
ENSG00000184887	33.7023391974206	-4.19123503208695	1.13183199619783	-3.8258100829989	0.000130342750779767	0.0277560187709796
ENSG00000198728	33.1690808398506	4.2693063588081	1.11492874372335	3.81268449475681	0.000137465545410905	0.0277560187709796
ENSG00000111581	24.0319770773203	-4.11301646615622	1.12681096908712	-3.78984615641275	0.000150740614784402	0.0283586859813752
ENSG00000132326	27.3986216508717	-4.06776073957188	1.10370383018841	-3.78076145228517	0.000156349429680695	0.0289469801237401
ENSG00000148848	19.5821289577125	-4.00741472622254	1.09380904646918	-3.77146223652512	0.000162293721724833	0.0295780307843508
ENSG00000178732	25.7241596243539	-4.12210999564537	1.141653162586	-3.76639946166473	0.000165618732386497	0.0297196445316322
ENSG00000084674	52.328050810381	3.97001801423774	1.06020489465348	3.7518468966066	0.000175536655380712	0.0310221143691003
ENSG00000114487	69.843850593577	-3.86508279948761	1.03277980031334	-3.72889672400205	0.000192319946418246	0.0310673788353467
ENSG00000132478	26.1793920377856	-4.0911631135302	1.15300303894732	-3.71472485046033	0.00020342491878111	0.0310673788353467
ENSG00000141026	45.2226922934784	-4.21861843669363	1.17626217922192	-3.71266091905643	0.000205091578388348	0.0310673788353467
ENSG00000148943	23.1277326097801	-3.77504205088841	1.02381982158487	-3.71980559103089	0.000199376184192567	0.0310673788353467
ENSG00000165782	18.5687802578726	-3.95443101040979	1.09535750064571	-3.71511543842241	0.000203110947548178	0.0310673788353467
ENSG00000171150	12.4005079217813	-3.74148321804969	1.01813075279436	-3.72126231925431	0.000198229388631456	0.0310673788353467
ENSG00000172086	18.3857108567305	-3.82118527597776	1.03827549766298	-3.73130769882893	0.00019048838844086	0.0310673788353467
ENSG00000179115	18.3878863171658	-3.94597211763461	1.09138030655866	-3.71952009338837	0.000199601668803355	0.0310673788353467
ENSG00000196968	19.6842537464277	-3.9894695225584	1.10327866425032	-3.72881865456775	0.000192379529561946	0.0310673788353467
ENSG00000206530	15.5801290210065	-3.86947028771724	1.0581224536373	-3.73418335380289	0.000188325262726073	0.0310673788353467
ENSG00000241058	23.1594041052436	-4.05875828662658	1.13060876050852	-3.73074068099239	0.000190917657589176	0.0310673788353467
ENSG00000187608	19.859318267956	4.12827472638937	1.10605165850703	3.70814558694928	0.000208782615072039	0.0312210310538495
ENSG00000126787	29.6832958381462	-4.1244691058016	1.17480682901528	-3.7040816163705	0.00021215794861439	0.0312464896757976
ENSG00000151725	21.8266553970956	-4.01371134324029	1.12619468802989	-3.69836873944855	0.000216989511637484	0.0312464896757976
ENSG00000166263	13.4793813666652	-3.77613340706712	1.03697128953872	-3.70147286580777	0.000214351582061213	0.0312464896757976
ENSG00000144827	17.4734176049692	4.04944875264261	1.08667985198508	3.69411961289195	0.000220649926139137	0.0313861065669133
ENSG00000119705	19.1348674483925	4.11033464304724	1.10819053296508	3.67937603935015	0.000233805302197992	0.0317105237771788
ENSG00000125733	14.0676825222368	-3.78313000340808	1.04639078519957	-3.68417728159678	0.000229442515592943	0.0317105237771788
ENSG00000134058	24.6044541695296	-4.04573175013579	1.14839873389662	-3.68199671044073	0.000231414397454193	0.0317105237771788
ENSG00000176994	32.0223246946901	-3.85796277381817	1.04987744966704	-3.68327123876048	0.000230259923896338	0.0317105237771788
ENSG00000158023	15.4043689480302	-3.84315291187949	1.06905243670726	-3.67520168207257	0.000237661596653118	0.0318630444064593
ENSG00000011198	31.9619689885064	-3.86792060102452	1.06231931811239	-3.65773474466614	0.000254454179979154	0.0320385751404936
ENSG00000028277	20.0527340060977	-3.73909588243904	1.03561284685837	-3.6545328691805	0.000257650655264981	0.0320385751404936
ENSG00000079691	27.990149378637	-4.07489562793269	1.17330818802105	-3.66028343696166	0.000251936409150151	0.0320385751404936
ENSG00000100526	26.5464703693901	-4.05355097762691	1.16596287742881	-3.65398794688479	0.000258198393621948	0.0320385751404936
ENSG00000147874	17.5628079192586	-3.89134104716525	1.09267911167295	-3.66439020914224	0.000247928560869981	0.0320385751404936
ENSG00000167815	16.3210016483544	3.98280610533845	1.07641713646479	3.66907450269311	0.000243430135876008	0.0320385751404936
ENSG00000243156	14.2622222584357	-3.78339907659042	1.0548833318622	-3.65903374259391	0.000253168008059537	0.0320385751404936
ENSG00000155254	21.1920252778509	-3.97424082189314	1.13018523098485	-3.6510610096383	0.000261159187301302	0.0320648501124462
ENSG00000205189	13.491931103842	-3.74360194085669	1.04691579922278	-3.64241218598222	0.000270095130177338	0.0328165583165466
ENSG00000162688	22.2027549415044	4.18612862665489	1.14673033746176	3.62886621904688	0.000284668705661253	0.0342306781735346
ENSG00000184305	12.4059341681194	-3.67462080805943	1.03446487288958	-3.61138301845526	0.000304568460608262	0.0362498624952527
ENSG00000078403	13.7881389423779	-3.72703356162895	1.05706588108375	-3.60073436072352	0.000317319653825053	0.0367284417809976
ENSG00000090621	18.4261695945762	-3.85898036440973	1.1182532436566	-3.57224046182659	0.00035394019088816	0.0367284417809976
ENSG00000100142	17.8543721860201	4.02045232623411	1.11566733216682	3.57651328082581	0.000348207633928413	0.0367284417809976
ENSG00000102699	25.3951756808968	3.88573794415093	1.07609882898079	3.57595232741803	0.00034895524388702	0.0367284417809976
ENSG00000119139	13.6102668353896	-3.72799556533732	1.05820086066329	-3.59498999726316	0.000324404040663045	0.0367284417809976
ENSG00000130165	19.972468955805	-3.8931451841887	1.13138102648705	-3.57602853365082	0.00034885359207113	0.0367284417809976
ENSG00000130935	21.0942540544739	-3.92973076700752	1.13773842973395	-3.59582002620231	0.000323371315645105	0.0367284417809976
ENSG00000172785	24.2535521792211	-3.86743584484675	1.09967761409419	-3.59811403555761	0.000320533082489507	0.0367284417809976
ENSG00000178163	23.1455802773129	-3.75895159760973	1.06508908784014	-3.58457424790337	0.000337628509783861	0.0367284417809976
ENSG00000179855	27.0470258992306	-3.88192755238713	1.11272303705133	-3.57115717455706	0.000355407526817462	0.0367284417809976
ENSG00000182557	16.1811838844002	-3.80686314215329	1.09376845316263	-3.57969840097303	0.000343990995531102	0.0367284417809976
ENSG00000197157	36.3020832943627	-3.87027933485141	1.08716213694584	-3.57085155406322	0.000355822524112888	0.0367284417809976
ENSG00000198252	21.0507496326339	-3.69536082921302	1.04656612827491	-3.57780738509587	0.000346488629163886	0.0367284417809976
ENSG00000247315	28.1287756321012	-3.79591901675618	1.06694308106905	-3.58870720878155	0.000332321807609569	0.0367284417809976
ENSG00000273749	38.4345735022059	-3.67249499140641	1.03274878709943	-3.57694923207979	0.000347627655324195	0.0367284417809976
ENSG00000029364	15.8820768438803	-3.54021008559392	1.00203450961009	-3.56079678657523	0.000369731149328084	0.0375003837022849
ENSG00000092931	21.8667647557339	-3.7123754194839	1.05757350790897	-3.56121725425088	0.000369139481061162	0.0375003837022849
ENSG00000095370	20.9576898019105	4.10214298417216	1.1478196165129	3.55752745069502	0.000374361990354468	0.0375617123545954
ENSG00000105248	23.2396394640635	-3.75555204300618	1.07387584022328	-3.55359996595324	0.000379996747071524	0.0375617123545954
ENSG00000124785	16.1808921354309	-3.78742967158886	1.097342702255	-3.55421133356972	0.000379114440250084	0.0375617123545954
ENSG00000066933	13.5125746440228	-3.46830521147427	0.986222886273178	-3.54253332103285	0.000396303351917622	0.037889199153829
ENSG00000078902	100.671604619107	-4.05227411719782	1.14757371104625	-3.5428160278782	0.000395878771037089	0.037889199153829
ENSG00000101444	27.1403356203853	-3.9751069293284	1.18792230019088	-3.54431825068594	0.000393629790855697	0.037889199153829
ENSG00000265107	15.8256724423189	-3.77172463732722	1.09416409551681	-3.54739026306718	0.000389067795448031	0.037889199153829
ENSG00000004059	68.1681478105819	-3.88408213190162	1.09774375047727	-3.53481661634622	0.000408058245937929	0.0381745641018251
ENSG00000116809	14.9331324441748	-3.73918685065817	1.0853226232726	-3.53754183099804	0.000403870205570566	0.0381745641018251
ENSG00000143653	15.1621134982014	-3.73797204567693	1.08721902061498	-3.53413846486766	0.00040910669690742	0.0381745641018251
ENSG00000099337	26.2727021465308	-3.5331011612274	0.996815720962757	-3.52936376257478	0.000416560120616959	0.0385615654513985
ENSG00000203950	26.0582633528215	-3.948191738116	1.18432530662025	-3.52614079501825	0.000421662736600473	0.0387265681866765
ENSG00000108256	38.4481249292012	-3.43934455517529	0.971713169958183	-3.52094966283076	0.000430004236755549	0.038880383081525
ENSG00000110697	19.0555698268918	-3.83641161402098	1.13245001561614	-3.52154270325431	0.000429043558724855	0.038880383081525
ENSG00000090554	20.3543827394855	-3.86758491137293	1.14697161069819	-3.51656544518618	0.000437168870004054	0.0389247152650938
ENSG00000128626	24.4732715395541	-3.92311467660478	1.17587220648722	-3.5172107486733	0.000436107374644826	0.0389247152650938
ENSG00000089123	22.2500653828884	-3.89124404735519	1.16236805495983	-3.51019668018017	0.000447775353092172	0.0389783989764935
ENSG00000104626	9.53758601717095	3.59136804671118	1.00827474863266	3.51034225416291	0.000447530256472174	0.0389783989764935
ENSG00000137210	9.81150324805953	-3.48951669703232	1.00519413487988	-3.51018376279633	0.000447797107583173	0.0389783989764935
ENSG00000082512	15.0605385133531	3.89452452173691	1.10286482588494	3.49658650361196	0.000471251676624797	0.0399976552963902
ENSG00000085185	10.4551412942781	-3.50761438948039	1.02038939821878	-3.48737342167892	0.000487789761724002	0.0399976552963902
ENSG00000095739	26.1144392576221	-3.90833857287659	1.19339780444312	-3.47527860068387	0.000510323048927589	0.0399976552963902
ENSG00000104907	17.0426853338633	-3.76348995321464	1.11756750787617	-3.48738280174237	0.000487772651992296	0.0399976552963902
